,Hi all~ I am in the market for a new plaquette style device,1
428,I think with twin ropes it might work great~ but with a single rope it's far from ideal.,0
429,You can rap with a gri gri - its not very difficult to acheive with a biner block,2
430,No need to also bring an ATC,2
431,I head up with only a gri-gri on every multipitch I do and I also rap with it,2
432,After years of use~ I haven't had any snags or issues and it's a smoother rappelling experience,2
433,Not futzing around with an autoblock and you can ascend your rope much quicker if you need to,2
434,You can also self-belay and TR moves quickly if you want to add that to your rappel experience (and dial in that beta to send the next time you attempt the route),2
435," ""Gri-gris are better in every single possible measure - from safety to user experience."" edit:  Not quite",2
436,Weight~ price~ double rope versatility~ and admittedly unlikely scenario of a violent factor 1 fall causing the cam to disengage on the Jesus piece,0
437,Additionally~ I have had a biner block get stuck before where a regular rope would not have,0
438,Once that happens to you~ who knows~ you may believe it's a possibility.,1
439,edit:  Not quite,1
440,Weight~ price~ double rope versatility~ and admittedly unlikely scenario of a violent factor 1 fall causing the cam to disengage on the Jesus piece,0
441,Additionally~ I have had a biner block get stuck before where a regular rope would not have,0
442,Once that happens to you~ who knows~ you may believe it's a possibility,1
443,I've had a biner block get stuck before - it's a quick fix to reascend the rope and has only happened once after hundreds of pulls,1
444,You can also test the pull before rapping to see if it will or won't get stuck,1
445,I’m going to throw in my two cents I suppose since we’ve gotten around to discussing the Gri Gri more in depth,1
446,All use cases are situation dependent,1
447,That said~ i’ll swap between using an ATC guide~ MegaJul~ Kong GiGi and a Petzl GriGri,1
448,Depending on what I’m looking for that day,1
449,Anyway~ for the fastest rappel descents I’ve ever accomplished~ my partner puts their ATC on rappel~ then I choose a strand underneath their device and rappel it with the Gri Gri,2
450,No carabiner block or anything else needed,2
451,The side I rappel down has a knot~ the side I don’t does not,1
452,I clip my tether to the other rope so that it stays within reach and control,1
453,When I reach the anchor~ I clip in to a quad with my tether~ give slack~ yell “off rappel~” untie the knot~ thread the rope~ retie the knot and wait for my partner,1
454,They clip the quad~ we pull the rope~ stack rappels again and commit to the rope~ remove the quad and zip to the next anchor,1
455,My partner had the option to use a fireman’s belay from me~ or can add a prussik backup while I’m already sliding down the rope,1
456,No one has to wait for anything and there’s no unnecessary risks added,2
457,Can you share a picture of this setup? I tried something similar once~ but thought I set it up wrong because the amount of friction was so low it felt nearly impossible to control my descent,0
458,It was shown in the original Mammut instructions that came with my Smart Alpine~ although Mammut seems to have removed them from their current IFU,1
459,I think we've noted this on MP before,1
460,You just turn the device around when you load in the two rap strands = ATC style rap,1
461,"I don't find it lacks friction unless the rope is quite skinny and a steep rap~ if so you can use it ""normally"" or add a ""third hand""",2
462,Rapping in the standard mode sucks big time and is annoying,0
463,Great device otherwise,2
464,Thank you,1
465,I did set it up wrong on my one attempt,1
466,I'll have to try this and see how smooth it is,1
467,The jerky rappel was the only thing about it that I didn't like,0
468,My personal approach is to bring two devices (ATC or GiGi + GriGri),1
469,Is it really worth pages of hand-wringing MP threads to save 68g (the weight of a GiGi) off your rack? Plus then you have a second device in case someone drops theirs,1
470,If so~ others have well addressed the pros/cons of all the various devices in this thread (mega jul~ giga jul~ alpine~ alpine up~ grigri~ etc.),1
471,They all involve some sort of compromise,1
472,If not~ just rack up your tube-style device + GriGri and go climbing.,1
473,I like the GigaJul,2
474,Its very versatile as long as you pair it with the right rope,2
475,If the rope is too big of too fuzzy~ it becomes really hard to use in break assist mode and then you only have a very heavy (but more durable) equivalent of an ATC Guide,0
476,It definitely does not replace a Grigri for single pitch cragging~ but it's the device I want on a multi-pitch.,0
477,Any max rope diameter you suggest keeping under? I know fat/fuzzy can add a handful of mm's either direction.,1
478,Any max rope diameter you suggest keeping under? I know fat/fuzzy can add a handful of mm's either direction,1
479,Try it on the ground first,1
480,I've had a 9.8mm rope work well while an another one of the same diameter was a total pain in the ass,0
481,9.5mm or smaller should be fine,1
482,Rappeling works in assist mode~ but I agree with many reviewers that you get a smoother ride in manual mode with a prussik,2
483,Hello outdoor recreation hive mind,1
484,Looking to crowd source some gear research,1
485,My wife and I are currently looking for a new tent,1
486,When we're on climbing trips we prioritize comfort over compactness,1
487,So we're looking for a tent with an epic vestibule (or option to add one),1
488,At present we've looked at the Marmot Orbit 4P and the REI Kingdom 4,1
489,It looks like some Big Agnes have the option to aftermarket a vestibule on for additional money,1
490,Two doors ideal and must be free standing,2
491,Has anyone seen or purchased such a tent? I've spent a bit of time looking around but there are so many manufacturers out there I know there must be something I'm missing,1
492,Thanks in advance,1
493,I'm also looking for something in the 4 person range,1
494,My last tent got destroyed during a windstorm at Jack's Canyon~ so I'm also looking for sturdiness/durability,0
495,I've had trouble singling out higher end car-camping tents - most tents are either nice and backpacking oriented or cheap/(flimsy?) and car camping oriented,1
496,The two you listed look great in terms of being sturdy/solid higher end~ but I'd love to hear other ideas in the same range.,2
497,Not sure what you mean by epic vestibule~ but I'd recommend the REI Basecamp 4 over the Kingdom 4 unless you really want the stand-up height,2
498,The Basecamp will still have plenty of room to spread out for two people~ is much more stable in challenging conditions and is a lot easier to set up~ especially if you're short,2
499,The Kingdom is an excellent fair weather flop and drop tent if you're gonna be in one place for a while~ but I think the Basecamp 4 is much more versatile if the conditions might get a little sporty and you arent sleeping more than two people on cots and dont mind not being able to stand up fully inside the tent,2
500,The MSR Habitude is also a really nice tent that's similar to the Basecamp in terms of build and intended use,2
501,The Nemo Wagontop is another excellent option that is more similar to the Kingdom build (tunnelish shape~ more headroom~ etc.),2
502,It might help for you to think about what sorts of conditions you intend on using the tent in,1
503,A dome style tent like the Habitude or Basecamp is much better in prolonged wind and rain~ while the tunnel shape of the Kingdom or Wagontop provide more vertical walls and more consistent standing headroom throughout,2
